NAME,IMO#,TYPE,GT,BUILT,FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL 
Toimene,8001567,Product Tanker,17233.0,1982.0,Tanzania ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,2014-12-18
Rexton,7431715,General Cargo With Container Capacity,2240.0,1975.0,Sierra Leone ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,2015-08-16
Bell,7609752,General Cargo With Container Capacity,14038.0,1979.0,St. Vincent & Grenadines ,Unknown owners,Unknown,Unknown owners,Aquamarine Shipping Limited,Saint Vincent and the Grenadines,Aliaga,Turkey,2015-07-09
Adamar,7614628,General Cargo With Container Capacity,1590.0,1978.0,Cook Islands ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,2015-10-07
Ussuri,7395959,Fish Factory,3728.0,1975.0,Russia ,Ussuri Company Limited,Russia,Ussuri Company Limited,Ussuri Company Limited,Russia,Chittagong,Bangladesh,2015-04-23
Proliv Starka,7365241,Fish Factory,3918.0,1976.0,Russia ,Ussuri Company Limited,Russia,Ussuri Company Limited,Ussuri Company Limited,Russia,Chittagong,Bangladesh,2015-06-10
Gas Kaizen,8818817,Liquid Petroleum Gas Carrier,4691.0,1991.0,Marshall Islands ,Vafias Group,Greece,StealthGas Incorporated  ,Geneve Butane Incorporated  ,Marshall Islands,Chittagong,Bangladesh,2015-03-29
Gas Crystal,8913215,Liquid Petroleum Gas Carrier,3888.0,1990.0,Malta ,Vafias Group,Greece,StealthGas Incorporated  ,Iceland Limited,Singapore,Alang,India,2015-04-17
Sunway B.,7925027,Tanker (Unspecified),9751.0,1980.0,Panama ,Val Oil Trading S.A.  ,Greece,Val Oil Trading S.A.  ,Sunway Navigation S.A.,Panama,Chittagong,Bangladesh,2015-02-17
Ore Tubarao,8323238,Bulk Ore Carrier,101222.0,1985.0,Liberia ,Vale SA (formerly Companhia Vale do Rio Doce)  ,Brazil,Seamar Shipping Corporation  ,Seamar Shipping Corporation  ,Liberia,Chittagong,Bangladesh,2015-03-21
Ore Mutuca,8906688,Bulk Carrier,77096.0,1990.0,Liberia ,Vale SA (formerly Companhia Vale do Rio Doce)  ,Brazil,Seamar Shipping Corporation  ,Seamar Shipping Corporation  ,Liberia,Gadani,Pakistan,2015-05-21
Ore Alegria,9135690,Bulk Carrier,81329.0,1997.0,Singapore ,Vale SA (formerly Companhia Vale do Rio Doce)  ,Brazil,Vale SA (formerly Companhia Vale do Rio Doce)  ,Vale Shipping Holding Private Limited  ,Singapore,Gadani,Pakistan,2015-08-27
Frans,7331783,Dredger,1340.0,1973.0,Netherlands ,Van Oord N.V.,Netherlands,Van Oord N.V.,Van Oord Overig Materieel I B.V.  ,Netherlands,Aliaga,Turkey,2015-06-19
Volvox Iberia,9055541,Hopper Dredger,5365.0,1993.0,Netherlands ,Van Oord N.V. ,Netherlands,Van Oord N.V. ,Sleephopperzuigers I B.V,Netherlands,Aliaga,Turkey,2015-10-15
HAM 1406,9156333,Work Ship,217.0,1997.0,Netherlands ,Van Oord N.V.  ,Netherlands,Van Oord N.V.  ,Van Oord Overig Materieel I B.V.  ,Netherlands,Aliaga,Turkey,2015-04-30
Earl,8314902,General Cargo With Container Capacity,14348.0,1987.0,St. Vincent & Grenadines ,Varna Shipping & Trading Limited,Bulgaria,Varna Shipping & Trading Limited,Pearl K. Shipping Company Limited,Saint Vincent and the Grenadines,Aliaga,Turkey,2015-07-15
Rouen,8230223,General Cargo,2576.0,1972.0,Sierra Leone ,Vernon Shipping Limited,Ukraine,Vernon Shipping Limited,Rouen Maritime Shipping Incorporated  ,Ukraine,Aliaga,Turkey,2015-06-08
Veroniki Dio,7701562,Liquid Petroleum Gas Carrier,1110.0,1977.0,Greece ,Veronaus Shipping Company  ,Greece,Veronaus Shipping Company  ,Stefanaus Shipping Company  ,Greece,Aliaga,Turkey,2015-03-11
Sea Eagle,8022456,Bulk Carrier,37661.0,1982.0,Panama ,Vietnam National Shipping Lines (VINALINES),Vietnam,Vinashin Ocean Shipping Company Limited (VINASHINLINES)  ,Vinashin Ocean Shipping Company Limited (VINASHINLINES)  ,Vietnam,Chittagong,Bangladesh,2014-07-16
Green Star,8016627,Bulk Carrier,39997.0,1983.0,Togo ,Vietnam National Shipping Lines (VINALINES)  ,Vietnam,Vinashin Ocean Shipping Company Limited (VINASHINLINES)  ,Vinashin Ocean Shipping Company Limited (VINASHINLINES)  ,Vietnam,Chittagong,Bangladesh,2015-03-14
Ba Vi,7389065,Floating Production Tanker,75366.0,1976.0,Vietnam,Vietnam Oil & Gas Corporation (PETROVIETNAM) ,Vietnam,Vietnam Oil & Gas Corporation (PETROVIETNAM) ,Vietsovpetro - Vietnam Soviet Joint Venture Corporation ,Vietnam,Chittagong,Bangladesh,2015-12-20
Coastal Energy,7929683,Floating Storage Tanker,23709.0,1981.0,Sierra Leone ,Viking Storage Solutions (Mauritius) Limited  ,United States of America,Viking Storage Solutions (Mauritius) Limited  ,Viking Storage Solutions (Mauritius) Limited  ,United States of America,Gadani,Pakistan,2015-04-14
Estre,9036014,Bulk Carrier,81589.0,1993.0,Comoros ,Vista Shipping Limited,British Virgin Islands,Vista Shipping Limited,Sea Star Shipholding Limited,Liberia,Chittagong,Bangladesh,2015-04-04
Cape London,9127485,Bulk Carrier,87368.0,1997.0,Liberia ,Vista Shipping Limited,British Virgin Islands,Vista Shipping Limited,Diarmaid Limited  ,Bahamas,Chittagong,Bangladesh,2015-05-09
Onega,8517982,Bulk Carrier,93643.0,1987.0,Dominica ,Vista Shipping Limited,British Virgin Islands,Vista Shipping Limited,Alba Navigare Company,Marshall Islands,Alang,India,2015-06-13
VOS Server,7827029,Standby Safety Vessel,863.0,1979.0,Bahamas ,Vroon B.V. ,Netherlands,Vroon Offshore Services B.V.  ,Vroon Offshore Services Limited  ,United Kingdom,Grenaa,Denmark,2015-09-06
VOS Patrol,8030661,Standby Safety Vessel,804.0,1982.0,Barbados,Vroon B.V. ,Netherlands,Vroon Offshore Services B.V.  ,Vroon Offshore Services Limited  ,United Kingdom,Grenaa,Denmark,2015-10-18
VOS Emperor,7608485,Standby Safety Vessel,624.0,1977.0,Liberia,Vroon B.V. ,Netherlands,Vroon Offshore Services B.V.  ,Nomis Shipping Limited ,United Kingdom,Grenaa,Denmark,2015-10-18
VOS Siren,8030673,Standby Safety Vessel,686.0,1982.0,Barbados,Vroon B.V. ,Netherlands,Vroon Offshore Services B.V.  ,Vroon Offshore Services Limited  ,United Kingdom,Grenaa,Denmark,2015-10-19
VOS Iona,7413127,Supply,1444.0,1977.0,United Kingdom,Vroon B.V.  ,Netherlands,Vroon Offshore Services B.V.  ,Viking North Sea Limited,United Kingdom,Grenaa,Denmark,2015-01-25
VOS Tiree,7711294,Standby Safety Vessel,863.0,1981.0,United Kingdom,Vroon B.V.  ,Netherlands,Vroon B.V.  ,Offshore Support Vessels IV Limited  ,United Kingdom,Grenaa,Denmark,2015-04-19
VOS Don,8010001,Standby Safety Vessel,782.0,1980.0,Bahamas ,Vroon B.V.  ,Netherlands,Vroon Offshore Services B.V.  ,Vroon Offshore Services Limited  ,United Kingdom,Grenaa,Denmark,2015-07-22
