Country of the beneficial owner,Beneficial owner of the ship,Name of ship,IMO number,Last flag,Flag changed for breaking,Date of change,Commercial Operator of the ship,Registered owner of the ship,Destination city,Destination country,Beaching date,Type of ship,Built in (y),Gross tonnage (GT)
South Korea,Hanjin Shipping Company Limited ,Nikoletta,8811144,St. Kitts-Nevis,South Korea,2014-04-09 00:00:00,Hanjin Shipping Company Limited ,Hanjin Shipping Company Limited ,Gadani,Pakistan,2014-04-09 00:00:00,Bulk carrier,1989,110541
South Korea,Samho Shipping Company Limited ,Samho Crown,9081174,Marshall Islands,,,Samho Shipping Company Limited ,Sy Tankers Limited ,Gadani,Pakistan,0,Tanker,1996,156852
South Korea,EUKOR Car Carriers Incorporated,Morning Cedar,8016548,South Korea ,,,EUKOR Car Carriers Incorporated,Eukor Shipowning Singapore Private Limited ,Jiangyin,China,2014-03-31 00:00:00,Vehicle Carrier ,1982,51334
South Korea,Pamela Corporation,Pamela Stream,8301448,Sierra Leone ,,,Pamela Corporation,Wideco Investment Limited ,Jiangyin,China,2014-02-23 00:00:00,General Cargo With Container Capacity ,1983,2769
South Korea,Saehan Marine (Service) Company Limited,Lagas Rainbow,8013962,South Korea ,,,Saehan Marine (Service) Company Limited,Saehan Marine (Gas) Company Limited,Jiangyin,China,2014-04-05 00:00:00,Liquid Petroleum Gas Carrier ,1980,1491
Spain,Arabella Enterprises Corporation,Anja Funk,7120720,Panama ,,,Arabella Enterprises Corporation,Arabella Enterprises Corporation,Aliaga,Turkey,2014-10-14 00:00:00,General Cargo With Container Capacity ,1971,2488
Spain,Arabella Enterprises Corporation,Hannes,7117503,Panama ,,,Arabella Enterprises Corporation,Arabella Enterprises Corporation,Aliaga,Turkey,2014-12-01 00:00:00,General Cargo With Container Capacity ,1971,2397
Spain,Arabella Enterprises Corporation ,Trio Vega,7116133,Sierra Leone ,,,Arabella Enterprises Corporation ,Coolmore Shipping Incorporated ,Aliaga,Turkey,2014-11-02 00:00:00,General Cargo,1971,1366
Spain,Dragados y Construcciones S.A.,Alodia,Unknown,Spain ,,,Dragados y Construcciones S.A.,Dragados y Construcciones S.A.,Aliaga,Turkey,2014-06-16 00:00:00,Dredger ,1963,0
Spain,Empresa Naviera Elcano S.A.,Castillo de Zafra,8510738,Brazil ,,,Empresa Naviera Elcano S.A.,Lauria Shipping S.A. ,Aliaga,Turkey,2014-03-24 00:00:00,Combined Chemical And Oil Tanker ,1988,8003
Spain,Lucky Trading Company Limited ,Ulia,8017334,Sierra Leone ,,,Lucky Trading Company Limited ,Lucky Trading Company Limited ,Aliaga,Turkey,2014-10-10 00:00:00,Reefer ,1981,1835
Spain,Penn Group Holding Corporation,Iballa G.,7393418,Panama ,,,Penn World Incorporated ,Penn World Incorporated ,Aliaga,Turkey,2014-06-18 00:00:00,Chemical Tanker ,1975,4182
Spain,Tramp S.L.,Isabel del Mar,8618140,Spain ,,,Tramp S.L.,Tarfaya Maritima ,Aliaga,Turkey,2014-09-24 00:00:00,Passenger Ro/Ro ,1988,19562
Spain,Empresa Naviera Elcano S.A. ,Castillo de San Pedro,9071820,Bahamas,,,Empresa Naviera Elcano S.A. ,Lauria Shipping Corporation Limited ,Chittagong,Bangladesh,2014-09-19 00:00:00,Bulk carrier,1994,38513
Spain,Empresa Naviera Elcano S.A. ,Castillo de Guadalupe,8020769,Brazil,,,Empresa de Navegacao Elcano S.A. ,Empresa de Navegacao Elcano S.A. ,Gadani,Pakistan,2014-10-05 00:00:00,Bulk carrier,1984,28330
Spain,Pesquerias Bigaro y Narval S.A. ,Xinzo,8704640,Spain,,,Pesquerias Bigaro y Narval S.A. ,Pesquerias Bigaro y Narval S.A. ,Marin,Spain,2014-02-16 00:00:00,Fishing vessel,1988,1190
Spain,Charter Maritimo Archipielago Canario S.L. ,Yaiza,7333200,Belize,,,Charter Maritimo Archipielago Canario S.L. ,Charter Maritimo Archipielago Canario S.L. ,Unknown,Unknown,0,Fishing vessel,1974,1125
Sri Lanka,Southern Ship Management ,Southern Sea,8203971,Moldova,,,Southern Ship Management ,Ocean Marine Service ,Alang,India,2014-11-29 00:00:00,General Cargo,1983,8082
St. Kitts-Nevis,Hsejar Maritime Incorporated ,Endeavor I,7901497,Panama,,,Hsejar Maritime Incorporated ,Hsejar Maritime Incorporated ,Alang,India,2014-02-05 00:00:00,Tanker,1981,22519
Sudan,Government of the Republic of Sudan ,Regis,7726574,St. Kitts-Nevis,Sudan,2014-08-09 00:00:00,Sudan Shipping Line Limited (SSL) ,Blue Nile Shipping Company Limited,Alang,India,2014-08-09 00:00:00,General Cargo,1979,9985
Sweden,Holy House Shipping AB ,Stina,8221856,Barbados,,,Holy House Shipping AB ,Stina Shipping Limited ,Alang,India,2014-06-17 00:00:00,Reefer,1983,10535
Sweden,Holy House Shipping AB ,Amalia,8221868,Barbados,,,Holy House Shipping AB ,Amalia Shipping Limited ,Alang,India,2014-08-06 00:00:00,Reefer,1984,10533
Sweden,Stena Group,Anna Marine,7361582,Moldova ,,,Northern Marine Management Limited ,Nevis Leasing Limited,Aliaga,Turkey,2014-02-13 00:00:00,Roll On Roll Off ,1975,12879
Sweden,Walleniusrederierna AB,Madame Butterfly,7917551,Singapore,,,Walleniusrederierna AB,Parsifal Shipping Private Limited ,Jiangyin,China,2014-08-28 00:00:00,Vehicle Carrier ,1981,50681
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Ayala,8413033,Panama,,,Mediterranean Shipping Company (MSC) SA ,Compania Naviera Ayala S.A. ,Alang,India,2014-03-19 00:00:00,Fully Cellular Containership,1985,36124
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Hina,8201686,Panama,,,Mediterranean Shipping Company (MSC) SA ,Compania Nav. Hina S.A. ,Alang,India,2014-06-24 00:00:00,Fully Cellular Containership,1995,21586
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Jade,8419726,Panama,,,Mediterranean Shipping Company (MSC) SA ,Fabliau Investments Incorporated ,Alang,India,2014-06-27 00:00:00,Fully Cellular Containership,1986,36514
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Elena,9051480,Panama,,,Mediterranean Shipping Company (MSC) SA ,Compania Naviera Elena S.A. ,Alang,India,2014-11-16 00:00:00,Fully Cellular Containership,1994,30971
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Clementina,8511316,Panama,,,Mediterranean Shipping Company (MSC) SA ,Compania Nav. Clemntina S.A. ,Alang,India,2014-12-17 00:00:00,Fully Cellular Containership,1986,39892
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Jenny,8709169,Panama,,,Mediterranean Shipping Company (MSC) SA ,Compania Naviera Jenny S.A. ,Alang,India,2014-12-27 00:00:00,Fully Cellular Containership,1988,39990
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Corinna,8208684,Panama,,,MSC Shipmanagement Limited ,Latmic Corporation ,Alang,India,2014-07-10 00:00:00,Fully Cellular Containership,1984,32703
Switzerland,Single Buoy Moorings Incorporated ,Kuito,7391185,Bahamas,,,SBM Production Contractors Incorporated S.A. ,Sonasing Kuito Limited ,Unknown,Unknown,0,Floating storage,1979,112539
Syria,Asra Marine Transport ,Paris Y.,7433426,Sierra Leone,,,Asra Marine Transport ,Alaa Shipping Company Limited ,Alang,India,2014-12-20 00:00:00,Bulk carrier,1980,9700
Syria,Bayrouty Shipping Company ,Meral Queen,7362445,Tanzania,,,Bayrouty Shipping Company ,Osman Prince Shipping Company S.A. ,Alang,India,2014-03-20 00:00:00,General Cargo,1974,10133
Syria,ISM Group Limited ,Letfallah V,8003929,Tanzania,,,ISM Group Limited ,Letfallah V Shipping & Trading Company Incorporated ,Alang,India,2014-01-18 00:00:00,General Cargo,1980,5307
Syria,Ahmad Abdulrazzak Yamak,Haroun,7211373,Cambodia ,,,Yamak Marine Transport ,Rose Shipping Company ,Aliaga,Turkey,2014-07-09 00:00:00,General Cargo With Container Capacity ,1972,4932
Syria,Caesar Maritime Company S.A.,Junior KK,7721160,Cook Islands ,,,Caesar Maritime Company S.A.,Waahla Maritime S.A. ,Aliaga,Turkey,2014-02-06 00:00:00,Roll On Roll Off ,1978,4578
Syria,Dolphin Shipping & Services Company,Marmara Star,7427609,Togo ,Syria,2013-11-09 00:00:00,Dolphin Shipping & Services Company,Dolphin Shipping & Services Company,Aliaga,Turkey,2014-07-01 00:00:00,General Cargo ,1976,1910
Syria,Hussein Moustafa Yamak Company,Letfallah,6602032,Syria ,,,Hussein Moustafa Yamak Company,Hussein Moustafa Yamak Company,Aliaga,Turkey,2014-01-06 00:00:00,General Cargo ,1965,960
Syria,Phoenicia Maritime Company LLC,Azizeh F.,7611523,Cambodia ,Netherlands Antilles,2013-11-05 00:00:00,Phoenicia Maritime Company LLC,Global Aki Shipping S.A.,Aliaga,Turkey,2014-09-10 00:00:00,General Cargo With Container Capacity ,1977,4125
Syria,Prompt Allied Management Company (PAMCO),Med Prince,7322196,Tanzania ,,,Prompt Allied Management Company (PAMCO),Sea Prince Shipping Company S.A.,Aliaga,Turkey,2014-09-18 00:00:00,Tanzania ,1973,4543
Syria,Unimarine Management Company,Proud,6523353,Tanzania ,,,Unimarine Management Company ,Durango Shipping Limited,Aliaga,Turkey,2014-01-29 00:00:00,Livestock ,1965,498
Syria,Ghandora Group ,Elminda,8207795,Belize,,,Ghandora Group,IHY Shipping Company SA ,Gadani,Pakistan,2014-09-06 00:00:00,Bulk carrier,1985,16705
Syria,Hamadeh Shipping Company Limited ,Leen H.,7029421,Togo,Tanzania,2014-02-27 00:00:00,Hamadeh Shipping Company Limited ,Hamadeh Shipping Company Limited ,Mumbai,India,2014-05-06 00:00:00,Bulk ore carrier,1971,3293
Taiwan,Yang Ming Marine Transport Corporation ,North,9001215,Comoros,Taiwan,2014-09-03 00:00:00,Yang Ming Marine Transport Corporation ,Yang Ming Marine Transport Corporation ,Alang,India,2014-09-04 00:00:00,Fully Cellular Containership,1995,46697
Taiwan,Yang Ming Marine Transport Corporation ,Xiamen,9121649,Liberia,,,Yang Ming Marine Transport Corporation ,All Oceans Transportation Incorporated ,Alang,India,2014-06-12 00:00:00,Fully Cellular Containership,1995,3994
Taiwan,D & S Company Limited ,Deryoung Sky,8130916,Panama,,,D & S Company Limited ,Deryoung Maritime Company S.A. ,Chittagong,Bangladesh,2014-12-29 00:00:00,General Cargo,1982,3060
Taiwan,Evergreen Marine Group ,Reach,9088122,Tuvalu,Panama,2014-11-29 00:00:00,Evergreen Marine Corporation (Taiwan) Limited (Evergreen Line) ,Ever Stork Marina S.A. ,Chittagong,Bangladesh,2014-12-04 00:00:00,Fully Cellular Containership,1994,53359
Taiwan,Global Growing Navigation S.A. ,Growing,8307557,Panama,,,Global Growing Navigation S.A. ,Global Growing Navigation S.A. ,Chittagong,Bangladesh,0,Bulk carrier,1984,24643
Taiwan,Jacksoon Shipping Safety Management Consultant Company Limited ,Wang,8323941,Panama,,,Jacksoon Shipping Safety Management Consultant Company Limited ,Get Wang Navigation S.A,Chittagong,Bangladesh,2014-11-22 00:00:00,Bulk carrier,1985,24653
Taiwan,Main Pilot International Corporation ,Gui Shun,7908926,Panama,,,Main Pilot International Corporation ,Main Pilot International Corporation ,Chittagong,Bangladesh,2014-10-21 00:00:00,Bulk carrier,1979,11158
Taiwan,Ocean Grow International Shipmanagement Consultant Corporation ,Glob,8303965,Togo,Sierra Leone,2014-08-03 00:00:00,Ocean Grow International Shipmanagement Consultant Corporation ,Global Eminence Limited ,Chittagong,Bangladesh,2014-09-18 00:00:00,Tanker,1983,4151
Taiwan,Win Far Fishery Group ,Win Shing 1,7311460,Panama,,,Win Far Fishery Group ,Win Shing Marine Company ,Chittagong,Bangladesh,2014-05-30 00:00:00,Reefer,1973,3506
Taiwan,Yang Ming Marine Transport Corporation ,Miss T.,9001227,Comoros,Taiwan,2014-01-01 00:00:00,Yang Ming Marine Transport Corporation ,Yang Ming Marine Transport Corporation ,Chittagong,Bangladesh,2014-01-03 00:00:00,Fully Cellular Containership,1995,46697
Taiwan,Yang Ming Marine Transport Corporation ,Best,9001239,Comoros,Taiwan,2014-01-12 00:00:00,Yang Ming Marine Transport Corporation ,Yang Ming Marine Transport Corporation ,Chittagong,Bangladesh,2014-01-12 00:00:00,Fully Cellular Containership,1995,46697
Taiwan,Yang Ming Marine Transport Corporation ,East,9062087,Taiwan,,,Yang Ming Marine Transport Corporation ,Yang Ming Marine Transport Corporation ,Chittagong,Bangladesh,2014-01-06 00:00:00,Fully Cellular Containership,1995,46697
Taiwan,Jui Zong Ship Management Company Limited,Ming Jie,8224054,Panama ,,,Jui Zong Ship Management Company Limited ,Jui Cheng Shipping Company Limited ,Jiangyin,China,2014-03-14 00:00:00,General Cargo ,1984,4035
Taiwan,Taiwan Maritime Transportation Company Limited (TMT Company Limited) ,Estable Trader,8901779,Panama ,,,Taiwan Maritime Transportation Company Limited (TMT Company Limited) ,Estable Shipping S.A. ,Jiangyin,China,2014-06-22 00:00:00,Wood-Chip Carrier,1989,35125
Thailand,Precious Shipping Public Company Limited ,Fujisan Maru,7509732,Bahamas,,,Precious Shipping Public Company Limited ,Precious Shipping (Panama) S.A. Rederiaktiebolaget Transmark ,Alang,India,2014-01-10 00:00:00,Bulk Cement Carrier,1976,10334
Thailand,Advance Marine Corporation Limited,Praphathepprarat,8307351,Thailand ,,,Advance Marine Corporation Limited,Top Siam Marine 2 Company Limited ,Aliaga,Turkey,2014-04-25 00:00:00,Bulk Carrier ,1984,24942
Thailand,All Oil Company Limited ,Danai 1,8025020,Thailand,,,All Oil Company Limited ,All Oil Company Limited ,Chittagong,Bangladesh,2014-09-17 00:00:00,Tanker,1981,2270
Thailand,Ayudhya Development Leasing Company Limited (ADLC) ,Kanthicha,8029753,Thailand,,,Ayudhya Development Leasing Company Limited (ADLC) ,Ayudhya Development Leasing Company Limited (ADLC) ,Chittagong,Bangladesh,2014-06-27 00:00:00,Gas Carrier,1981,2534
Thailand,B.P.P. Supply Company Limited ,B.P.P.6,7108021,Thailand,,,B.P.P. Supply Company Limited ,B.P.P. Supply Company Limited ,Chittagong,Bangladesh,2014-03-04 00:00:00,Tanker,1970,1072
Thailand,Gunkul Trading & Agency Company Limited ,Gunkul 1,7908744,Thailand,,,Gunkul Trading & Agency Company Limited ,Kulnatee Company Limited ,Chittagong,Bangladesh,2014-08-06 00:00:00,Bulk carrier,1980,13640
Thailand,Laemthong International Lines Company Limited,Orapin 1,8021907,Thailand,,,Thai International Tankers Company Limited ,Thai International Tankers Company Limited ,Chittagong,Bangladesh,2014-09-15 00:00:00,Tanker,1981,1397
Thailand,Laemthong International Lines Company Limited ,Orapin 2,8122323,Thailand,,,Thai International Tankers Company Limited ,Thai International Tankers Company Limited ,Chittagong,Bangladesh,2014-10-18 00:00:00,Tanker,1981,1598
Thailand,Namsai Company Limited ,Sritara,8031861,Thailand,,,Namsai Company Limited ,Namsai Company Limited ,Chittagong,Bangladesh,2014-02-27 00:00:00,Tanker,1978,1399
Thailand,Nathalin Offshore Company Limited ,Sri Qadriah 1,8706131,Thailand,,,Nathalin Offshore Company Limited ,Nathalin Offshore Company Limited ,Chittagong,Bangladesh,2014-03-19 00:00:00,Tanker,1989,144139
Thailand,Navakun Transport Company Limited ,Navakun 11,7718723,Thailand,,,Navakun Transport Company Limited ,Navakun Transport Company Limited ,Chittagong,Bangladesh,2014-11-20 00:00:00,Gas Carrier,1977,698
Thailand,Phulsawat Navy Company Limited ,Bangkhonthi,7352830,Thailand,,,Phulsawat Navy Company Limited ,Phulsawat Overseas Line Company Limited ,Chittagong,Bangladesh,2014-01-27 00:00:00,General Cargo,1974,4895
Thailand,PP Global Line Limited ,PP5,8613384,Thailand,,,PP Global Line Limited ,PP Global Line Limited ,Chittagong,Bangladesh,2014-02-22 00:00:00,Liquid Petroleum Gas Carrier,1987,1324
Thailand,Regional Container Lines Public Company Limited ,Lady,8908002,Comoros,Indonesia,2014-09-01 00:00:00,Regional Container Lines Public Company Limited ,"P.T, Bintika Bangunusa ",Chittagong,Bangladesh,2014-11-03 00:00:00,Fully Cellular Containership,1991,17215
Thailand,Sang Thai & Sinsimon Group of Companies ,Sea Sunny,8402462,Thailand,,,Sinsimon Navigation Company Limited ,Sang Thai Shipping Company Limited ,Chittagong,Bangladesh,2014-08-05 00:00:00,General Cargo,1984,4010
Thailand,Seamanship Company Limited ,New Season,8323525,Thailand,,,Seamanship Company Limited ,Seamanship Company Limited ,Chittagong,Bangladesh,2014-03-28 00:00:00,Gas Carrier,1984,3000
Thailand,Tipco Asphalt Public Company Limited ,Delta 7,8519277,Thailand,,,Tipco Maritime Company Limited ,Bitumen Marine Company Limited ,Chittagong,Bangladesh,2014-05-15 00:00:00,Tanker,1986,992
Thailand,Wongsamut Ocean Shipping Company Limited ,Bangkaja,8109864,Thailand,,,Wongsamut Navigation Company Limited ,Wongsamut Navigation Company Limited ,Chittagong,Bangladesh,2014-06-27 00:00:00,General Cargo,1981,3908
Thailand,Thaioil Group ,Phubai Amara 2,9002142,Thailand,,,Thaioil Group ,Thaioil Marine Company Limited ,Gadani,Pakistan,2014-01-06 00:00:00,Tanker,1991,52603
Thailand,Sang Thai & Sinsimon Group of Companies,Sang Thai Iris,8121977,Thailand ,,,Sinsimon Navigation Company Limited ,S. Carriers 2000 Company Limited,Jiangyin,China,2014-04-09 00:00:00,General Cargo ,1981,5029
Turkey,Canbaz Denizcilik ve Nakliyat Ticaret Sanayi Limited Sirketi ,Filippa C,9004188,Panama,,,Canbaz Denizcilik ve Nakliyat Ticaret Sanayi Limited Sirketi ,SNT Shipping Limited ,Alang,India,2014-02-11 00:00:00,Fully Cellular Containership,1991,11998
Turkey,Egetrans Denizcilik ve Ticaret A.S. ,LTI Integrity,8405921,Panama,,,Egetrans Denizcilik ve Ticaret A.S. ,Niken Shipping SA ,Alang,India,2014-03-09 00:00:00,General Cargo,1985,8643
Turkey,Istanbul Denizcilik Limited Sirketi ,Erk,8313386,Panama,,,Istanbul Denizcilik Limited Sirketi ,Istanbul Denizcilik Limited Sirketi ,Alang,India,2014-05-29 00:00:00,Bulk carrier,1984,18639
Turkey,Karya Denizcilik ve Gemi Insaat Sanayi ve Ticaret AS ,Karia,7600172,Panama,,,Karya Denizcilik ve Gemi Insaat Sanayi ve Ticaret AS ,Lykia Shipping Corporation ,Alang,India,2014-04-04 00:00:00,Bulk carrier,1978,16827
Turkey,Kiran Holdings AS ,Kaptan Nevzat Kacar,8325896,Turkey,,,Pasifik Gemi Isletmeciligi ve Ticaret A.S. ,Kirtur Uluslararasi Gemicilik Turizm ve Ticaret A/S ,Alang,India,2014-03-05 00:00:00,Bulk carrier,1984,16502
Turkey,Kiran Holdings AS ,Barbaros Kiran,7433684,Turkey,,,Pasifik Gemi Isletmeciligi ve Ticaret A.S. ,Kirgem Gemicilik ve Ticaret AS ,Alang,India,2014-03-16 00:00:00,Bulk carrier,1985,22466
Turkey,Liber Denizcilik Limited STI ,Liber,8312734,Panama,,,Liber Denizcilik Limited STI ,BSE Limited ,Alang,India,2014-07-11 00:00:00,General Cargo,1985,19385
Turkey,Manta Shipping Transport and Trade Company Limited ,G.Inebolu,7389833,Turkey,,,Manta Shipping Transport and Trade Company Limited ,Cetinkaya Armatorluk Limited Sirketi ,Alang,India,2014-09-25 00:00:00,Bulk carrier,1983,11965
Turkey,Tami Denizcilik Limited Sirketi ,Pirikar,8219346,Liberia,,,Tami Denizcilik Limited Sirketi ,Pirikar Maritime Limited ,Alang,India,2014-01-04 00:00:00,Bulk carrier,1986,21531
Turkey,Umde Ship Management Limited ,Georgia,8007248,St. Kitts-Nevis,,,Umde Ship Management Limited ,Blass Shipping S.A. ,Alang,India,2014-06-04 00:00:00,Tanker,1986,17277
Turkey,Yenal Gemi Isletmeciligi AS ,Nazli Deniz,7412472,Togo,,,Yenal Gemi Isletmeciligi AS ,Neo Gemi Isletmeciligi Limited Sirketi ,Alang,India,2014-05-30 00:00:00,Bulk carrier,1974,6022
Turkey,Zelmar Denizcilik Ticaret Limited Sirketi ,Aqua Luna,9004229,Liberia,,,Zelmar Denizcilik Ticaret Limited Sirketi ,Aqua Bulk Carriers Corporation ,Alang,India,2014-04-07 00:00:00,General Cargo,1992,10396
Turkey,Zigana Gemi Isletmeleri AS ,Grace,8410134,Liberia,,,Zigana Gemi Isletmeleri AS ,Gosport Marine Incorporated ,Alang,India,2014-01-31 00:00:00,Tanker,1986,16282
Turkey,Arif Guclu,Renktas,5088966,Turkey ,,,Arif Guclu,Arif Guclu,Aliaga,Turkey,2014-04-03 00:00:00,General Cargo ,1951,483
Turkey,Arkas Group of Companies,Ada A.,9045699,Panama ,,,Arkas Denizcilik ve Nakliyat A.S. ,West Island Maritime Limited ,Aliaga,Turkey,2014-04-16 00:00:00,Fully Cellular Containership ,2000,4919
Turkey,Bayraktar Shipping Group of Companies,Erhan Bayraktar,8202989,Turkey ,,,Bayraktar Gemi Isletmeciligi ve Kiralama A.S. ,Bayraktar Denizcilik ve Ticaret AS ,Aliaga,Turkey,2014-04-10 00:00:00,General Cargo ,1983,2560
Turkey,Beykim Petrolculuk Gemi Isletmeciligi Sanayi ve Ticaret A.S. ,Tibil,8012138,Turkey ,,,Beykim Petrolculuk Gemi Isletmeciligi Sanayi ve Ticaret A.S. ,Beykim Petrolculuk Gemi Isletmeciligi Sanayi ve Ticaret A.S. ,Aliaga,Turkey,2014-03-24 00:00:00,Chemical Tanker ,1981,3642
Turkey,Canakkale Liman Isletmesi Sanayi ve Ticaret Anonim Sirketi,Kolin 3,8406602,Turkey ,,,Canakkale Liman Isletmesi Sanayi ve Ticaret Anonim Sirketi,Yapi Kredi Finansal Kiralama A.O. ,Aliaga,Turkey,2014-05-28 00:00:00,Product Tanker ,1985,5154
Turkey,Cargo Maritime & Trading Limited,Caspian Wave,7435137,Panama ,Saint Kitts and Nevis,2014-03-31 00:00:00,Cargo Maritime & Trading Limited,Cargo Maritime & Trading Limited,Aliaga,Turkey,2014-09-18 00:00:00,General Cargo ,1978,2181
Turkey,Celtikcioglu Gemicilik Nakliye Insaat Sanayi ve Ticaret Limited Sirketi ,Celtikcioglu 14,6909715,Turkey ,,,Celtikcioglu Gemicilik Nakliye Insaat Sanayi ve Ticaret Limited Sirketi ,Celtikcioglu Gemicilik Nakliye Insaat Sanayi ve Ticaret Limited Sirketi ,Aliaga,Turkey,2014-05-15 00:00:00,General Cargo With Container Capacity ,1969,1223
Turkey,Cevahir Denizcilik ve Ticaret,Emerald,8230106,Cambodia ,,,Cevahir Denizcilik ve Ticaret,Blacksea International Shipping & Trading Company Incorporated,Aliaga,Turkey,2014-01-15 00:00:00,General Cargo ,1970,2457
Turkey,Com Deniz Nakliyat ve Ticaret Limited Sirketi,Dolunay,7407245,Turkey ,,,Com Deniz Nakliyat ve Ticaret Limited Sirketi,Com Deniz Nakliyat ve Ticaret Limited Sirketi,Aliaga,Turkey,2014-01-03 00:00:00,General Cargo ,1977,996
Turkey,Fethi Turna ve Ortaklari,Yakup Kaptan,7407269,Turkey ,,,Fethi Turna ve Ortaklari,Fethi Turna ve Ortaklari,Aliaga,Turkey,2014-02-17 00:00:00,General Cargo ,1975,685
Turkey,Gesan Yatirim ve Ticaret A.S.,Gas Monarch,8400177,Panama ,,,Gesan Yatirim ve Ticaret A.S.,Seagas NV,Aliaga,Turkey,2014-12-11 00:00:00,Liquid Petroleum Gas Carrier ,1985,1552
Turkey,Idris Yildiz Kollektif Sirketi,Berk,6829680,Tanzania ,Turkey,2014-01-14 00:00:00,Idris Yildiz Kollektif Sirketi,Idris Yildiz Kollektif Sirketi,Aliaga,Turkey,2014-01-26 00:00:00,General Cargo ,1968,771
Turkey,Iskele Denizcilik Ticaret Limited Sirketi,Furkan,7808542,Turkey ,,,Iskele Denizcilik Ticaret Limited Sirketi,Iskele Denizcilik Ticaret Limited Sirketi,Aliaga,Turkey,2014-03-21 00:00:00,General Cargo ,1980,936
Turkey,Izmir Deniz Isletmeciligi Nakliye ve Turizm Ticaret AS ,Salacak,6601806,Turkey ,,,Izmir Buyuksehir Belediye Baskanligi ,Izmir Buyuksehir Belediye Baskanligi ,Aliaga,Turkey,2014-08-28 00:00:00,Roll On Roll Off ,1966,901
Turkey,Kolin Insaat Turizm Sanayi ve Ticaret A.S.,Harput,7336721,Turkey ,,,Kolin Insaat Turizm Sanayi ve Ticaret A.S.,Kolin Insaat Turizm Sanayi ve Ticaret A.S.,Aliaga,Turkey,2014-02-03 00:00:00,Passenger Ro/Ro ,1974,8754
Turkey,M&M Marine Shipping Company Limited,Little Dona,7130086,Cambodia ,,,M&M Marine Shipping Company Limited,Dona Line Shipping Incorporated ,Aliaga,Turkey,2014-03-19 00:00:00,General Cargo ,1971,2491
Turkey,Marmara Adasi Deniz Motorlu Tasiyicilar Kooperatifi,Marmara C.,7224693,Turkey ,,,Marmara Adasi Deniz Motorlu Tasiyicilar Kooperatifi,Marmara Adasi Deniz Motorlu Tasiyicilar Kooperatifi,Aliaga,Turkey,2014-02-03 00:00:00,General Cargo ,1972,1594
Turkey,Mena Denizcilik Ticaret Limited Sirketi,Edmondo,7604556,Turkey ,,,Mena Denizcilik Ticaret Limited Sirketi,Mena Denizcilik Ticaret Limited Sirketi,Aliaga,Turkey,2014-12-12 00:00:00,General Cargo,1986,1594
Turkey,Milenyum Denizcilik Gemi Hizmetleri Acentelik ve Ozel Ogretim Hizmetleri Limited Sirketi ,Bluegas,7909839,Sierra Leone ,Panama,2013-04-09 00:00:00,Milenyum Denizcilik Gemi Hizmetleri Acentelik ve Ozel Ogretim Hizmetleri Limited Sirketi ,Milenyum Energy S.A.,Aliaga,Turkey,2014-02-28 00:00:00,Liquid Petroleum Gas Carrier ,1981,2273
Turkey,Necati Kayaalp Shipping,Nazli-K.,6721204,Turkey ,,,Necati Kayaalp Shipping,Necati Kayaalp Shipping,Aliaga,Turkey,2014-03-11 00:00:00,General Cargo ,1967,300
Turkey,Pasifik Lojistik Grubu ve Denizcilik AS,Gulf South,7530858,Togo ,Saint Kitts and Nevis,2013-09-02 00:00:00,Pasifik Lojistik Grubu ve Denizcilik AS,Vela Steamship Corporation ,Aliaga,Turkey,2014-01-01 00:00:00,General Cargo With Container Capacity ,1977,2563
Turkey,Polathane Denizcilik Nakliyat ve Ticaret Limited Sirketi,Tokay Cillioglu,7725312,Turkey ,,,Polathane Denizcilik Nakliyat ve Ticaret Limited Sirketi,Cillioglu Denizcilik Nakliyat,Aliaga,Turkey,2014-03-14 00:00:00,General Cargo With Container Capacity ,1978,3482
Turkey,Puta Denizcilik Gemi Insaa ,Kyme,8866199,Cambodia ,,,Puta Denizcilik Gemi Insaa ,Sareia Shipping Incorporated ,Aliaga,Turkey,2014-12-19 00:00:00,General Cargo ,1972,2457
Turkey,Statu Chartering & Shipping Agency Limited (Statu Gemi Kiralama ve Ticaret Limited Sirketi) ,Kocatepe S.,8107787,Turkey ,,,Statu Chartering & Shipping Agency Limited (Statu Gemi Kiralama ve Ticaret Limited Sirketi) ,Statu Chartering & Shipping Agency Limited (Statu Gemi Kiralama ve Ticaret Limited Sirketi) ,Aliaga,Turkey,2014-06-16 00:00:00,General Cargo ,1990,2549
Turkey,Transit Denizcilik Nakliyat ve Ticaret Limited Sti ,Nelson,8009416,St. Vincent & Grenadines ,,,Transit Denizcilik Nakliyat ve Ticaret Limited Sti ,CB Navigation Corporation ,Aliaga,Turkey,2014-06-16 00:00:00,Bulk Carrier ,1981,13677
Turkey,Ulusoy Denizyollari Isletmeciligi A.S.,Ulusoy-6,7116913,Turkey ,,,Ulusoy Denizyollari Isletmeciligi A.S.,Ulusoy Denizyollari Isletmeciligi A.S.,Aliaga,Turkey,2014-01-07 00:00:00,Roll On Roll Off ,1971,12259
