IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,CHANGE OF FLAG FOR BREAKING,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,COMMENT,Unnamed: 17,Unnamed: 18
9187502,WESTERN TRIDENT,Research Survey Vessel,8369,,1999,Panama,,Shearwater Geoservices Holding,Norway,Reflection Marine UK Ltd,Shearwater Geoservices Assets,Norway,Aliaga,Turkey,2021-06-01,,,
9054822,ABLE II,Products Tanker,1633,1016.0,1992,Tanzania (Zanzibar),,Hyperactive Management,Panama,Hyperactive Management Inc,Admiral Shipping Services Inc,Panama,Gadani,Pakistan,2021-06-01,,,
8221947,PS REEFER,Refrigerated Cargo Ship,2047,,1982,Panama,,Pacsun Shipping SA,Panama,Pacsun Shipping SA,Pacsun Shipping SA,Panama,Unknown,Unknown,2021-06-01,,,
8810176,AMUR,Products Tanker,5038,2857.0,1991,Russia,,Kasatka Co Ltd,Russia,Kasatka Co Ltd,Kasatka Co Ltd,Russia,Alang,India,2021-06-01,,,
8509131,ALTAIR,Fish Factory Ship,3862,3250.0,1987,St Kitts & Nevis,Russia,Ostrov Sakhalin JSC,Russia,Ostrov Sakhalin JSC,Ostrov Sakhalin JSC,Russia,Alang,India,2021-06-01,,,
9051399,JIA HANG,Products Tanker,6544,3590.0,1993,St Kitts & Nevis,Mongolia,EastAsia Shipping and Marine,Singapore,EastAsia Shipping & Marine Pte,Rich United Trading Ltd,Seychelles,Chittagong,Bangladesh,2021-06-01,,,
9102265,EM VITALITY,"FSO, Oil",163882,48087.0,1996,Cook Islands,,Equatorial Marine Fuel Mgmt,Singapore,Equatorial Marine Fuel Mgmt,Equatorial Marine Fuel Mgmt,Singapore,Chittagong,Bangladesh,2021-06-01,,,
9123386,FALCON,Chemical/Products Tanker,13292,6695.0,1996,Panama,,Glory Ship Management Pte Ltd,Singapore,Glory Ship Management Pte Ltd,Benoa Maritime Ltd SA,Panama,Alang,India,2021-06-01,,,
9002207,MED,Crude Oil Tanker,80000,20584.0,1991,Palau,Cook Islands,Hin Leong Trading Pte Ltd,Singapore,Ritz Ship Management Pte Ltd,Dayuan Holdings Corp,Panama,Chittagong,Bangladesh,2021-06-01,,,
9019327,PRESTIG,Products Tanker ,2739,1561.0,1991,St Kitts & Nevis,Cook Islands,Hin Leong Trading Pte Ltd,Singapore,Daichi Shipmanagement Pte Ltd,Dong Fang Shipping & Trading,Singapore,Chittagong,Bangladesh,2021-06-01,,,
6921828,LEISURE,Passenger/Cruise,15653,9630.0,1969,St Kitts & Nevis,Panama,Universal Shipmanagement,Singapore,Universal Shipmanagement,Queenston Maritime Ltd,Tuvalu,Alang,India,2021-06-01,,,
9149237,AZOV SEA,Chemical/Products Tanker,27526,9961.0,1998,Tuvalu,,Wilmar Ship Holdings Pte Ltd,Singapore,Raffles Shipmanagement Serv,Cosmos Maritime Pte Ltd,Singapore,Alang,India,2021-06-01,,,
9205081,VINSON,"FSO, Oil",163761,46310.0,2001,Comoros,Panama,Winson Oil Trading Pte Ltd,Singapore,Winson Oil Trading Pte Ltd,Laughing Hill Ltd,British Virgin Islands,Chittagong,Bangladesh,2021-06-01,,,
8400579,TABERNACLE PRINCE,Cement Carrier,11276,5360.0,1984,Sri Lanka,,Tokyo Cement Co Lanka,Sri Lanka,Ocean Ship Management Pte Ltd,Fuji Cement Co Lanka Ltd,Sri Lanka,Chittagong,Bangladesh,2021-06-01,,,
8322909,LEE FONT,Chemical/Products Tanker,2539,1537.0,1984,Sierra Leone,,De Biao Y,Taiwan,De Biao Y,De Biao Y,Taiwan,Chittagong,Bangladesh,2021-06-01,,,
8516201,TRI WINGS,Asphalt/Bitumen Tanker,4014,2771.0,1985,Palau,,Fairwind Navigation,Taiwan,Unknown,Unknown,Unknown,Chittagong,Bangladesh,2021-06-01,,,
9105657,GLORY STAR,Container Ship (Fully Cellular),4124,2157.0,1994,Palau,,Homemay Enterprise Co Ltd,Taiwan,Homemay Enterprise Co Ltd,Homemay Enterprise Co Ltd,Taiwan,Chittagong,Bangladesh,2021-06-01,,,
7913103,SW 2,Products Tanker ,3053,1835.0,1979,Mongolia,,Jin Hao Ship Management Co Ltd,Taiwan,Jin Hao Ship Management Co Ltd,Grand Ocean Shipping Line,Panama,Chittagong,Bangladesh,2021-06-01,,,
8706648,LUCK GROW 899,Products Tanker,3456,2168.0,1987,Mongolia,,You Young Ship Mgmt & Consult,Taiwan,You Young Ship Mgmt & Consult,Fortune Mountain Properties,British Virgin Islands,Chittagong,Bangladesh,2021-06-01,,,
8617512,SINDHNARA,Products Tanker,957,680.0,1987,Thailand,,Trans Ocean Supply 1992 Co Ltd,Thailand,Trans Ocean Supply 1992 Co Ltd,Trans Ocean Supply 1992 Co Ltd,Thailand,Chittagong,Bangladesh,2021-06-01,,,
9003079,KATARA,LPG Tanker,3983,2538.0,1993,St Vincent & The Grenadines,,Eli Investment Ltd,Turkey,Eli Investment Ltd,Eli Investment Ltd,Seychelles,Alang,India,2021-06-01,,,
8721404,HARATS,General Cargo Ship,2998,1865.0,1986,Panama,,Global Marine Consulting Ltd,Turkey,Global Marine Consulting Ltd,Albany Shipping Ltd,Seychelles,Aliaga,Turkey,2021-06-01,,,
8306711,RAMA-1,Products Tanker,4997,2661.0,1985,Panama,,Al Rafedain Marine Services,United Arab Emirates,Al Rafedain Marine Services,Infinity Trading Intl Inc,Panama,Gadani,Pakistan,2021-06-01,,,
7390430,INTERCOM 1,Offshore Tug/Supply Ship,864,,1974,Mongolia,Panama,Emerald Shipping Management,United Arab Emirates,Emerald Shipping Management,Emerald Shipping Management,United Arab Emirates,Gadani,Pakistan,2021-06-01,,,
9081813,MIRAGE,Crude/Oil Products Tanker,28507,9597.0,1995,Gabon,,Emirates Shipping Co LLC,United Arab Emirates,Emirates Shipping Co LLC,ES Golden Gulf Inc,Panama,Gadani,Pakistan,2021-06-01,,,
9156486,FRACHTIS,Products Tanker,10298,5049.0,1997,Comoros,Nigeria,Etihad Engineering & Marine,United Arab Emirates,Etihad Engineering & Marine,Etihad Engineering & Marine,United Arab Emirates,Gadani,Pakistan,2021-06-01,,,
9149213,JAL SHAKTI,Chemical/Products Tanker,27526,9623.0,1998,Gabon,,Jal Shakti Corp Ltd,United Arab Emirates,Jal Shakti Corp Ltd,Jal Shakti Corp Ltd,Marshall Islands,Chittagong,Bangladesh,2021-06-01,,,
8750819,NSC 71,"Drilling Rig, jack up",8161,10090.0,1982,Liberia,,Valaris Plc,United Kingdom,Valaris Plc,ENSCO Global GmbH,Switzerland,Aliaga,Turkey,2021-06-01,,,
8752984,AMERICA,"Drilling Rig, semi Submersible",26576,21638.0,1988,Palau,Marshall Islands,Diamond Offshore Co,United States Of America,Diamond Offshore Drilling Serv,Diamond Offshore Drilling Serv,United States Of America,Alang,India,2021-06-01,,,
8900335,DOLE COSTA RICA,Container Ship (Fully Cellular),16488,8554.0,1991,Bahamas,,Dole Food Co,United States Of America,Tropical Fruit Americas LLC,Ventura Trading Ltd,Bermuda,Alang,India,2021-06-01,,,
